pn,qty,description
CAB11855,0,UP DOWN SAFETY ENCODER
CAB11861,0,Cable
CAB11873,4,CABLE RIBON
CAB11877,2,FLEXPACK CABLE
CAB11975,2,GENERIC CABLE
CAB11976,2,GENERIC CABLE
CAB11978,2,EXTERNAL ALIGNER LED
CAB11979,2,GENERIC CABLE
CAB11980,3,GENERIC CABLE
CAB11981,3,GENERIC CABLE
CAB11984,1,UP DOWN BRAKE
CAB11988,1,CABLE MOTOR
CAB11989,3,GENERIC CABLE
CAB12025,1,CANOPY Z ENCODER
CAB12026,0,CANOPY Y ENCODER
CAB12068,0,POWER SUPPLY AND COM CABLE
CAB12080,0,NFO/BLM CONNECTING CABLE
CAB12231,0,CAB12231
CAB12367,0,CONNECTOR CABLE
CAB12391,2,BRUSHLESS VACUUM PUMP CABLE
CAB12403,0,EXTENSION CABLE
CAB12450,2,CABLE GESTION ECRAN LCD
CAB12451,2,CABLE GESTION ECRAN CRT PIA391
CAB12461,0,VIDEO AND LIGHTING CABLE
CAB12469,0,RALLONGE VIDEO MODULE ORION
CAB1261,0,MOTOR GRIP
CAB12613,0,SECURITY ENCODER
CAB12639,3,INTI SENSOR GRIP
CAB12641,3,EXTERNAL GRIP ENCODER
CAB12643,1,INIT SENSOR FLIP
CAB12644,3,EOT SENSOR FLIP
CAB12645,3,MAIN FLIP ENCODER
CAB12646,3,SECURITY FLIP ENCODER
CAB12649,2,EOT SENSOR GRIP
CAB12658,4,IR SENSOR EOT LEFT
CAB12718,0,DUAL DRIVE HEAD CABLE SET
CAB12735,0,FFU Adapter
CAB12743,0,SCREEN AND KEYBOARD EXTENSION
CAB12751,0,OCR CAMERA CABLE
CAB12760,0,CAB12760
CAB12800,1,DERIVATION VIDEO CABLE
CAB12811,0,PC104 I/O
CAB12843,1,"DRIVE, DUAL CABLE"
CAB12844,0,ETEL MOTOR EXTENSION CABLE
CAB12863,0,LIGHTING AND VIDEO CABLE
CAB12888,0,Z MOTHER BOARD SUPPLY
CAB12896,0,LED PRESENCE
CAB12897,0,PHOTO PRESENCE
CAB12900,3,LEFT/RIGHT SCANNING HEAD
CAB12901,0,FORWARD/BACKWARD SCANNING HEAD
CAB12967,3,ADAPTER CABLE FOR ZC0239 DUAL
CAB13008,0,CABLE POUR KIT PC ECU1040
CAB13010,0,CABLE POUR KIT PC ECU1040
CAB13011,0,CABLE POUR KIT PC ECU1040
CAB13026,5,CABLE
CAB13032,0,FO FIRMWARE DWNLOAD CABLE
CAB13044,0,ALIMENTATION CABLE
CAB13045,0,COMMAND CS221
CAB13049,0,INTAH0632 POWER CABLE
CAB13051,3,CABLE OUTPUT UPS
CAB13052,3,GENERIC CABLE
CAB13063,0,PC AND PRESSURE SENSOR 24V CAB
CAB13074,0,PS/2 CABLE
CAB13075,0,PS/2 CABLE
CAB13116,6,FLIPPER CABLE
CAB13142,0,BACK INTERFACE ADAPTOR CABLE
CAB13149,0,OCR ADAPTOR
CAB13315,0,VGA CS221 CABLE
CAB13316,23,KB/Mouse CABLE
CAB13317,0,SATA CABLE
CAB13318,0,SATA CABLE
CAB13319,0,LAN CABLE
CAB13320,0,USB CABLE
CAB13321,0,VOYANT FACE AVANT CABLE
CAB13322,0,AUDIO CABLE
CAB13323,1,COM 1-4 CABLE
CAB13324,23,LPT CABLE
CAB13326,0,USB FACE AVANT CABLE
CAB13327,0,BUTTON ON/OFF CABLE
CAB20150,0,"4LP Y  & X (TEB, MOTORS, SCANN"
CAB20151,1,XY Flat Cable System 2 (TEB &
CAB20202,0,INIT Sensor Cable
CAB20214,1,Horizontal Barrier LED Cable
CAB20215,1,Horizontal Barrier Photo Cable
CAB20217,1,Photo1 Dock Cable
CAB20218,1,Photo2 Dock Cable
CAB20219,1,LED1 Dock Cable
CAB20220,1,LED2 Dock Cable
CAB20300,1,Racket IO signal cable
CAB20309,1,Rotary sensor cable
CAB20314,1,Canopy IO cable
CAB20315,1,Rotary motor cable
CAB20316,1,Racket grounded link
CAB20317,1,Canopy grounded link
CAB20320,0,Y MOTOR EXTENSION CABLE
CAB20322,1,Racket motors cable
CAB20323,1,Canopy power cable
CAB20713,1,4LP Y  & X (USB & SIGNALS) FLA
CAB20715,1,XY Flat Cable System 3 (USB &
CAB21525,0,DOCK 1 DETECTION CABLE
CAB21526,0,DOCK 2 DETECTION CABLE
CAB21527,0,HORIZONTAL DETECTION CABLE
CAB21528,0,VERTICAL DETECTION CABLE
CABL00715,0,FIL SERIE UL AWG24 BLEU
CABL00717,0,FIL SERIE UL AWG24 JAUNE
CABL00721,0,FIL SERIE UL AWG24 VERT
CABL00746,0,NAPPE 6PT G28 GRIS
CABL00749,0,NAPPE 10PT G28 GRIS
CABL00757,0,NAPPE 16PT G28 GRIS
CABL00760,0,NAPPE 20PT G28 GRIS
CABL00764,0,NAPPE 40PT G28 GRIS PAS 1.27MM
CABL00765,0,NAPPE 40PT G28 GRIS PAS 1MM
CABL00781,0,"CABLE RD 16P 0,14MM2 COUL.UL/B"
CABL00784,0,CABLE RD 6PT UL AWG26 GRIS
CABL01776,0,NAPPE 20PT G28 MULTICOUL
CABL10814,0,SCAN HEAD CONNECTOR
CABL15202,0,FIL SERIE UL AWG22 VIOLET
CABL15203,0,FIL SERIE UL AWG22 JAUNE
CABL15214,0,WHITE CABLE
CABL15311,0,NAPPE 20PTS P:0.635 MONOBRIN
CABL15313,0,USB CABLES
CABL15326,0,NAPPE 2PT UL AWG24 MULTICOUL.
CABL15328,0,NAPPE 3PT UL AWG24 MULTICOL.
CAME11411,1,CAMERA FOCUS
CAME15066,0,CAMERA LENS
CAME15075,1,OCR DATA MATRIX CUSTOM
CAME15109,0,CAMERA OCR
CAN11084,0,Y AXIS RIBBON CABLE
CAPT14449,2,INFRA RED PAPER
CAPT15306,1,Pressure sensor
CAPT15308,1,Tachometer
CAR000009,0,MET2-MC+ MATROX METER2/MC
CAR000013,4,CAN COMMUNICATION BOARD
CAR000015,2,CARTE FILTRE VIDEO SORTIE DB
CEM014914,15,FERRITE BEAD
CHAR02275,0,BLM DOOR
CHCB00017,0,CABLE CHAIN EXTREMITY
CINT01038,0,Chip for INTAH0678
CINT01039,2,DALLAS 32-16
CINT01040,4,DALLAS 64-16
CINT10111,8,"AT89C2051 MICRO CTRL,  V1.20A"
CINT15224,0,EEPROM
CINT15224K35,0,"EEPROM #35, KIT OF 10"
CINT15353,0,EPROM 15 FOR LOAD PORT
CINT15356,20,EEPROM AT17LV512 10JU ROHS
CLAV00908,0,KEYBOARD
CLAV00910,0,SCRENN COVER/57 KEY SPP/BPP TA
CLAV01801,0,KEYBOARD FOR STARNI
CLAV07847,4,KEYBOARD MANAGEMENT BOARD
CLAV14407,1,Keyboard
CODE01048,2,EXTERNAL ENCODER
CODE13590,1,ENCODER
CODE13597,2,Y linear Scale
CODE15395,1,CODER (2 LP X RULER)
COLL01606,10,LOCTITE 495 GLUE 3G TUBE
COLL01611,3,TUBE GLUE
CONN00616,13,SUBD 9M S/FIL
CONN00835,120,CONN PAN 3F AUTODE G24
CONN00852,43,CONN PAN 3F G28 AUTODE
CONN00867,10,HE10 2X5F AUTODE NEZ
CONN00869,5,HE10 2X8F AUTODE NEZ
CONN00870,50,HE10 2X10F AUTODE NEZ
CONN00873,9,HE10 2X20F AUTODE NEZ
CONN00878,18,CONN CHASS. RCA FEM. DORE
CONN00881,16,SUBD 15F S/FIL
CONN00898,18,HE10 2X5M. AUTODE
CONN00900,147,FICHE 6M MINI-DIN
CONN01164,30,SUBD 9F S/FIL ETAME
CONN01202,22,CAPOT SD9 PLAST.METALISE SOURI
CONN01208,25,SUBD 15M S/FIL FCT-FCI
CONN06739,0,HE10 2X10F AUTODE NEZ
CONN08974,24,SUBD 15M HD S/FIL
CONN11575,0,CONNECTOR
CONN12279,7,CONN COAX SMB M DR/CI
CONN14359,10,FEMALE 3 PTS FRB CONNECTOR
CONN15406,22,"BORN.D.2F CD P:5,08 MSTB PHOE"
CONN15576,35,CONN.ELECTRO-VAN.3+T PG7 GRIS
CONN15585,0,SPACERS
CONN15612,75,MICROMATCH 2X9M AUTODENUDANT
CONN15681,10,"MOLEX BOIT.M 12F P:3,9 SER/CBL"
CONN15682,450,MOLEX CONTACT F A SERT. P:3.96
CONN15780,17,CONNECT 30F HD A SERTIR P0.635
CONN15782,40,HE10 20F HD A SERTIR P:0.635
CONN15787,26,"CONNECTEUR 6F P:3, 96 CORPS"
