Item ID,Qty on Hand
VMT8K37,4
VMT8R01_A8100,1
VMTAC017,10
VMTAC018,5
VMTAC020,1
VMTAC045,2
VMTAC067,2
VMTAC071,1
VMTAC081,5
VMTAC126,27
VMTAC180,1
VMTAC184,35
VMTAH0011,9
VMTAH0013,74
VMTAH0014,2
VMTAH0015,15
VMTAH0045,1
VMTAH0112,2
VMTAH1500,91
VMTAH1700,9
VMTAH1900,27
VMTAH2100,43
VMTAH2700,20
VMTAH2800,5
VMTAH9090,13
VMTBC184,28
VMTBH1500,9
VMTBH1900,7
VMTCH1500,6
VMTCH3600,14
VMTP05A00645,4
VSNOSD,6
X00362,2
Y0109,49
Y0597,2
YA0042,2
Z0229,1
ZC0225,2
ZC0235,42
ZC0237,2
ZC0238,1
ZC0239,4
ZM0133,1
ZM0848,2
ZM0854,1
